id,marka,model,rok_produkcji,rodzaj_silnika,pojemnosc_silnika,przebieg,cena,wojewodztwo
139,Opel,Vectra C,2002,Benzyna,1796.0,209987.0,12900.0,Warmińsko-mazurskie
140,Audi,A4 B8,2012,Diesel,2700.0,151000.0,59800.0,Śląskie
141,Suzuki,Baleno,2017,Benzyna,1200.0,1.0,43700.0,Śląskie
142,Opel,Agila B,2011,Benzyna,1242.0,46000.0,19900.0,Śląskie
143,Volkswagen,Passat B8,2017,Benzyna,1800.0,1.0,111900.0,Śląskie
144,Audi,Q5 8R,2015,Diesel,2000.0,52000.0,36000.0,Świętokrzyskie
145,BMW,Seria 3 F30,2015,Diesel,2000.0,178200.0,89800.0,Małopolskie
146,Volvo,V40 I,2000,Diesel,1900.0,205000.0,6900.0,Mazowieckie
147,Seat,Leon I,2001,Benzyna,1600.0,197233.0,10999.0,Świętokrzyskie
148,Ford,Mondeo Mk3,2004,Benzyna,2000.0,119000.0,13900.0,Dolnośląskie
149,Hyundai,Tucson II,2017,Diesel,2000.0,2510.0,144900.0,Śląskie
150,Renault,Megane III,2009,Benzyna,1598.0,94000.0,26900.0,Świętokrzyskie
151,Audi,R8,2008,Benzyna,4200.0,55800.0,239900.0,Małopolskie
152,Volkswagen,Golf VI,2009,Benzyna,1600.0,196000.0,26900.0,Wielkopolskie
153,Audi,A5 F5,2017,Diesel,1968.0,1400.0,240900.0,Małopolskie
154,Toyota,Avensis II,2008,Benzyna,1794.0,168600.0,28500.0,Lubelskie
155,Peugeot,208,2016,Benzyna,1199.0,22372.0,39900.0,Wielkopolskie
156,Renault,Clio IV,2017,Benzyna,898.0,9.0,54960.0,Mazowieckie
157,Toyota,Corolla Seria,2003,Diesel,1995.0,232000.0,11900.0,Małopolskie
158,Ford,Focus Mk3,2015,Diesel,1600.0,147829.0,47900.0,Małopolskie
159,Škoda,Superb III,2016,Diesel,2000.0,15000.0,152900.0,Śląskie
160,Mercedes-Benz,Klasa C W204,2012,Benzyna,6208.0,59000.0,169900.0,Małopolskie
161,Smart,Roadster,2003,Benzyna,700.0,63000.0,16000.0,Lubuskie
162,Honda,CR-V IV,2017,Benzyna,2000.0,1.0,131900.0,Mazowieckie
163,Toyota,Yaris I,2001,Benzyna,1000.0,156000.0,6490.0,Kujawsko-pomorskie
164,Honda,Civic VII,2004,Benzyna,1389.0,164000.0,11800.0,Dolnośląskie
165,Mazda,6 I,2007,Diesel,1998.0,218805.0,12999.0,Zachodniopomorskie
166,BMW,Seria 1 F20,2016,Diesel,1496.0,2360.0,109990.0,Kujawsko-pomorskie
167,Fiat,Tipo II,2016,Benzyna,1368.0,1.0,65900.0,Lubelskie
168,Peugeot,5008 I,2014,Diesel,1600.0,132000.0,39900.0,Wielkopolskie
169,Kia,Picanto II,2017,Benzyna,1200.0,1.0,55890.0,Wielkopolskie
170,Hyundai,ix35,2011,Benzyna,1998.0,172000.0,47900.0,Mazowieckie
171,Peugeot,308 T7,2009,Diesel,1600.0,135571.0,19900.0,Śląskie
172,Volkswagen,Golf VII,2017,Benzyna,1400.0,1.0,89900.0,Pomorskie
173,Porsche,Panamera,2010,Benzyna,4800.0,129300.0,138000.0,Mazowieckie
174,Škoda,Octavia II,2011,Diesel,2000.0,214000.0,30000.0,Mazowieckie
175,Peugeot,307 II,2006,Benzyna+LPG,2000.0,131000.0,16800.0,Śląskie
176,Renault,Grand Scenic IV,2015,Diesel,1600.0,27500.0,69900.0,Pomorskie
177,Volkswagen,Bora,2000,Benzyna,1595.0,215000.0,7900.0,Podlaskie
178,Infiniti,Q50,2014,Benzyna,3700.0,84000.0,114000.0,Małopolskie
179,Audi,A4 B8,2015,Diesel,1968.0,10.0,109900.0,Mazowieckie
180,Citroën,C4 I,2007,Benzyna,1400.0,150000.0,11999.0,Małopolskie
181,Nissan,Almera N16,2006,Benzyna,1500.0,161000.0,10900.0,Łódzkie
182,Renault,Megane II,2008,Diesel,1500.0,180000.0,12500.0,Lubelskie
183,Audi,Q5 FY,2017,Benzyna,1998.0,1.0,166900.0,Podlaskie
184,Renault,Megane II,2007,Diesel,1900.0,205000.0,10900.0,Mazowieckie
185,Mini,Cooper,2005,Benzyna,1600.0,181000.0,15999.0,Zachodniopomorskie
186,Citroën,C2,2004,Benzyna,1124.0,100075.0,7300.0,Śląskie
187,Peugeot,508,2016,Diesel,2000.0,12000.0,87000.0,Mazowieckie
188,Mazda,CX-7,2009,Diesel,2184.0,141445.0,42900.0,Wielkopolskie
189,Kia,Cerato,2005,Diesel,2000.0,204000.0,7999.0,Łódzkie
190,Škoda,Kodiaq,2017,Diesel,2000.0,4200.0,142200.0,Opolskie
191,Mercedes-Benz,Klasa C W203,2001,Diesel,2685.0,321940.0,17000.0,Świętokrzyskie
192,Renault,Thalia,2004,Diesel,1461.0,250000.0,3900.0,Mazowieckie
193,Opel,Zafira B,2007,Benzyna,1600.0,178000.0,16400.0,Śląskie
194,Citroën,Xsara Picasso,2000,Benzyna,1800.0,196421.0,2900.0,Wielkopolskie
195,Volvo,V40 I,2001,Diesel,1900.0,310600.0,4500.0,Małopolskie
196,Seat,Leon I,2002,Diesel,1900.0,230700.0,11900.0,Mazowieckie
197,Mitsubishi,Outlander III,2016,Benzyna,2000.0,1.0,110990.0,Lubelskie
198,Volkswagen,Transporter T5,2007,Diesel,2500.0,289000.0,29500.0,Kujawsko-pomorskie
199,Kia,Cerato,2005,Diesel,1991.0,143000.0,8999.0,Zachodniopomorskie
200,Hyundai,Elantra IV,2017,Benzyna,1591.0,4500.0,69500.0,Śląskie
201,Ford,Focus Mk1,2000,Benzyna,2000.0,195246.0,4200.0,Lubuskie
202,Honda,CR-V III,2010,Benzyna,1997.0,100400.0,60000.0,Wielkopolskie
203,Honda,Accord VII,2006,Benzyna,2354.0,208000.0,29900.0,Mazowieckie
204,Lexus,LS II,1998,Benzyna,4000.0,301000.0,28000.0,Małopolskie
205,Opel,Astra H,2009,Diesel,1700.0,267000.0,16900.0,Podkarpackie
206,Toyota,Corolla Seria,2006,Diesel,1364.0,233600.0,15000.0,Mazowieckie
207,Opel,Corsa D,2006,Benzyna,998.0,104564.0,12900.0,Wielkopolskie
208,Fiat,Bravo II,2007,Diesel,1910.0,147000.0,17900.0,Małopolskie
209,Opel,Astra J,2014,Benzyna,1400.0,60000.0,46500.0,Małopolskie
210,Fiat,Doblo I,2002,Diesel,1900.0,300000.0,4999.0,Lubelskie
211,Suzuki,Grand Vitara II,2006,Diesel,1997.0,229896.0,17900.0,Pomorskie
212,Citroën,C4 Picasso II,2017,Diesel,1560.0,1900.0,81999.0,Łódzkie
213,Alfa Romeo,156,2004,Diesel,1900.0,284000.0,6900.0,Lubelskie
214,Audi,A6 C6,2009,Diesel,2000.0,317000.0,43800.0,Kujawsko-pomorskie
215,Seat,Ibiza IV,2009,Benzyna,1390.0,132000.0,19999.0,Łódzkie
216,Mitsubishi,Grandis,2006,Diesel,2000.0,250000.0,16900.0,Śląskie
217,Suzuki,Grand Vitara II,2006,Diesel,1900.0,166000.0,24900.0,Małopolskie
218,Opel,Zafira B,2007,Diesel,1910.0,181233.0,15900.0,Kujawsko-pomorskie
219,Ford,Ranger,2017,Diesel,3200.0,1.0,144900.0,Małopolskie
220,Kia,Cee'd I,2010,Diesel,1600.0,217000.0,17900.0,Łódzkie
221,Opel,Astra K,2016,Benzyna,1399.0,7900.0,63900.0,Śląskie
222,Audi,A6 C7,2016,Diesel,3000.0,4073.0,219000.0,Podkarpackie
223,Mercedes-Benz,Klasa S W140,1992,Benzyna,3199.0,220000.0,32500.0,Zachodniopomorskie
224,Jaguar,X-Type,2006,Benzyna,2967.0,222050.0,29500.0,Małopolskie
225,Audi,A6 C6,2006,Diesel,3000.0,279000.0,31900.0,Mazowieckie
226,Audi,A6 Allroad C5,2004,Diesel,2500.0,204000.0,19700.0,Lubuskie
227,Toyota,Corolla Seria,2006,Diesel,2000.0,140000.0,15900.0,Śląskie
228,Toyota,Yaris II,2008,Diesel,1364.0,186500.0,16900.0,Śląskie
229,Volkswagen,Golf V,2008,Diesel,1900.0,168000.0,21999.0,Wielkopolskie
230,Smart,Forfour I,2005,Benzyna,1100.0,106000.0,11500.0,Śląskie
231,Land Rover,Discovery Sport,2017,Diesel,1999.0,10000.0,251910.0,Wielkopolskie
232,Kia,Sportage II,2007,Diesel,2000.0,220000.0,24999.0,Śląskie
233,Fiat,Sedici,2007,Diesel,1910.0,233000.0,17900.0,Małopolskie
234,Toyota,Aygo II,2017,Benzyna,998.0,144.0,45900.0,Mazowieckie
235,BMW,Seria 6 F12/13,2014,Diesel,3000.0,197000.0,230000.0,Mazowieckie
236,Opel,Astra H,2010,Diesel,1686.0,154000.0,19500.0,Dolnośląskie
237,Volkswagen,Touran III,2012,Diesel,1968.0,188436.0,39999.0,Wielkopolskie
238,Mercedes-Benz,W124 (1984-1993),1991,Diesel,1997.0,647000.0,4000.0,Zachodniopomorskie
239,Citroën,C3 II,2012,Benzyna,1400.0,74109.0,26900.0,Pomorskie
240,Opel,Vectra C,2002,Benzyna,2200.0,254700.0,9900.0,Świętokrzyskie
241,Mercedes-Benz,Klasa S W220,2000,Benzyna+LPG,4966.0,219000.0,30000.0,Zachodniopomorskie
242,Jeep,Grand Cherokee I,1994,Benzyna+LPG,3964.0,270000.0,9500.0,Pomorskie
243,Volkswagen,Multivan,1994,Diesel,2400.0,503000.0,13900.0,Mazowieckie
244,Citroën,Xsara Picasso,2006,Benzyna,1587.0,119204.0,10900.0,Małopolskie
245,Jeep,Renegade,2016,Benzyna,1400.0,2.0,112890.0,Mazowieckie
246,Volkswagen,Golf VII,2017,Benzyna,1395.0,1.0,85500.0,Kujawsko-pomorskie
247,Jeep,Wrangler II,2000,Benzyna+LPG,2500.0,209000.0,35900.0,Podlaskie
248,Opel,Vectra C,2006,Diesel,1900.0,22600.0,16900.0,Śląskie
249,Daewoo,Tico,2000,Benzyna,796.0,188200.0,650.0,Opolskie
250,Mitsubishi,Colt Z30,2007,Benzyna,1300.0,157000.0,12300.0,Lubelskie
251,Volkswagen,Golf IV,2001,Benzyna,1600.0,200000.0,4950.0,Mazowieckie
252,Opel,Corsa D,2008,Benzyna,1000.0,88000.0,14900.0,Podkarpackie
253,Hyundai,i20 II,2015,Diesel,1400.0,27218.0,40990.0,Śląskie
254,Renault,Laguna III,2010,Diesel,1500.0,195000.0,26700.0,Wielkopolskie
255,Suzuki,Grand Vitara II,2005,Benzyna,1998.0,171000.0,26900.0,Lubuskie
256,Opel,Vectra C,2006,Benzyna,2792.0,186000.0,21900.0,Podkarpackie
257,Renault,Kangoo II,2012,Diesel,1500.0,156000.0,29900.0,Dolnośląskie
258,Mercedes-Benz,Klasa B W246,2012.0,Diesel,1796.0,112556.0,70500.0,Wielkopolskie
259,Mazda,5 II,2011,Diesel,1600.0,126000.0,38900.0,Zachodniopomorskie
260,Hyundai,i40,2014,Diesel,1685.0,104835.0,62900.0,Łódzkie
261,Renault,Scenic I,2003,Diesel,1900.0,180000.0,7500.0,Kujawsko-pomorskie
262,Nissan,Note II,2013,Benzyna,1386.0,33600.0,26900.0,Podlaskie
263,Volkswagen,Golf IV,2002,Diesel,1896.0,255000.0,10900.0,Pomorskie
264,Suzuki,Ignis,2007,Benzyna,1328.0,134890.0,17500.0,Mazowieckie
265,Peugeot,3008 I,2013,Diesel,1560.0,104104.0,47500.0,Mazowieckie
266,Saab,9-3 I,2001,Benzyna,1985.0,274000.0,5900.0,Mazowieckie
267,Mercedes-Benz,Klasa G W463,2013,Diesel,350.0,145000.0,174000.0,Śląskie
268,BMW,X3 E83,2009,Diesel,1998.0,214758.0,44999.0,Świętokrzyskie
269,Mazda,6 II,2009.0,Diesel,1983.0,294000.0,23000.0,Śląskie
270,Opel,Mokka,2014,Diesel,1700.0,147000.0,55900.0,Pomorskie
271,Ford,Focus Mk1,2002,Benzyna,1600.0,212000.0,5999.0,Lubelskie
272,Kia,Sportage II,2009,Diesel,1995.0,146000.0,24900.0,Mazowieckie
273,Peugeot,5008 I,2010,Benzyna,1600.0,170000.0,24900.0,Łódzkie
274,Volkswagen,Polo IV,2003,Benzyna,1200.0,153000.0,8900.0,Podlaskie
275,Renault,Megane III,2014,Diesel,1461.0,74000.0,37500.0,Świętokrzyskie
276,Audi,A3 8L,2002,Benzyna,1781.0,225000.0,9999.0,Podlaskie
277,Volkswagen,Golf VII,2014,Diesel,1958.0,54000.0,64900.0,Wielkopolskie
278,Audi,TT 8N,2001,Benzyna,1781.0,197000.0,20000.0,Małopolskie
279,SsangYong,REXTON,2003,Diesel,2900.0,300043.0,12999.0,Wielkopolskie
280,BMW,Seria 5 E60,2003,Benzyna+LPG,2200.0,209000.0,32900.0,Małopolskie
281,Audi,A4 B7,2006,Diesel,3.0,270000.0,37900.0,Małopolskie
282,Chevrolet,Nubira,2006,Benzyna,1598.0,160000.0,8900.0,Świętokrzyskie
283,Peugeot,307 II,2005,Benzyna,1600.0,150000.0,11900.0,Śląskie
284,Citroën,C4 Grand Picasso I,2009,Diesel,1560.0,199000.0,18800.0,Małopolskie
285,Škoda,Fabia III,2015,Benzyna+LPG,999.0,63578.0,35400.0,Mazowieckie
286,Citroën,C5 II,2005,Benzyna,1997.0,125000.0,11890.0,Wielkopolskie
287,Volkswagen,Golf VI,2008,Diesel,1989.0,260000.0,21900.0,Dolnośląskie
288,Mazda,2 I,2004,Benzyna,1388.0,150000.0,7900.0,Pomorskie
289,Audi,A4 B8,2012,Diesel,2000.0,176000.0,61900.0,Śląskie
290,Renault,Scenic II,2004,Diesel,1900.0,216000.0,9800.0,Wielkopolskie
291,Audi,A3 8P,2007,Benzyna,1596.0,227000.0,25900.0,Dolnośląskie
292,Renault,Clio IV,2013,Benzyna,1149.0,77253.0,31250.0,Małopolskie
293,Seat,Alhambra II,2017,Diesel,2000.0,1.0,144254.0,Mazowieckie
294,Ford,Focus Mk1,2003,Benzyna,1600.0,202000.0,6400.0,Świętokrzyskie
295,Škoda,Superb III,2017,Diesel,2000.0,5.0,135990.0,Pomorskie
296,Mercedes-Benz,Klasa C W204,2013,Diesel,2200.0,230000.0,59000.0,Wielkopolskie
297,BMW,Seria 3 E36,1997.0,Benzyna,2494.0,147250.0,17900.0,Mazowieckie
298,Lexus,IS III,2014,Hybryda,2494.0,160000.0,84900.0,Mazowieckie
299,Hyundai,i20 II,2017,Benzyna+LPG,1000.0,10.0,62900.0,Pomorskie
300,Alfa Romeo,147,2002,Benzyna,2000.0,200000.0,4100.0,Lubelskie
301,Opel,Corsa D,2008.0,Diesel,1300.0,153000.0,13500.0,Małopolskie
302,Volkswagen,Golf VII,2017,Benzyna,1984.0,8.0,188800.0,Małopolskie
303,Land Rover,Discovery V,2017,Diesel,1999.0,22.0,369050.0,Pomorskie
304,Mercedes-Benz,Klasa C W204,2008,Benzyna,1800.0,209000.0,42900.0,Dolnośląskie
305,Volkswagen,Golf IV,2006,Diesel,1900.0,224000.0,11900.0,Świętokrzyskie
306,Citroën,C5 III,2011,Diesel,1997.0,220000.0,32000.0,Lubelskie
307,Nissan,Juke,2012,Benzyna,1600.0,97000.0,38500.0,Lubuskie
